Fund,Fund Manager,Category,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,classification
Invesco India Nifty G sec Jul 2027 Index Fund Reg(G),Krishna Cheemalapati,DT-MD,0.58,0.19,0.92,0.7,0.95,0.71,0.76,0.35,0.64,0.46,Debt : Medium Duration
Invesco India Nifty G sec Sep 2032 Index Fund Reg(G),Krishna Cheemalapati,DT-LD,0.72,-0.21,1.43,0.52,1.29,0.93,1.39,-0.01,0.57,0.59,Debt : Long Duration
Invesco India Overnight Fund Reg(G),Krishna Cheemalapati,DT-ON,0.56,0.53,0.55,0.53,0.54,0.54,0.53,0.53,0.52,0.55,Debt : Overnight
Invesco India PSU Equity Fund(G),Dhimant Kothari,EQ-THEM,-0.58,8.35,9.74,3.03,4.6,-3.75,-1.05,-6.04,-0.24,-4.55,Equity : Thematic
Invesco India Short Duration Fund(G),Vikas Garg,DT-SD,0.65,0.2,0.82,0.49,0.87,0.64,0.84,0.4,0.55,0.5,Debt : Short Duration
Invesco India Smallcap Fund Reg(G),Taher Badshah,EQ-SML,-0.61,6.54,1.68,9.39,4.09,2.95,3.28,-3.22,2.45,1.9,Equity : Small Cap
Invesco India Technology Fund Reg(G),Hiten Jain,EQ-TECH,-,-,-,-,-,-,-,-3.22,5.19,3.95,Equity : Sectoral - Technology
Invesco India Ultra Short Duration Fund(G),Krishna Cheemalapati,DT-USD,0.65,0.59,0.56,0.52,0.62,0.54,0.62,0.6,0.52,0.58,Debt : Ultra Short Duration
ITI Arbitrage Fund Reg(G),Rajesh Bhatia,HY-ARB,0.62,0.64,0.61,0.64,0.49,0.57,0.53,0.49,0.49,0.58,Hybrid : Arbitrage
ITI Balanced Advantage Fund Reg(G),Rajesh Bhatia,HY-DYN,0.32,1.84,-0.55,2.42,2.91,0.79,2.04,-3.17,1.15,-0.32,Hybrid : Dynamic Asset Allocation
ITI Banking & Financial Services Fund Reg(G),Nilay Dalal,EQ-FIN,0.04,4.09,-2.76,6.62,-0.03,0.99,2.82,-3.93,0.18,-1.74,Equity : Sectoral - Financial Services
ITI Banking & PSU Debt Fund Reg(G),Rajesh Bhatia,DT-B&PSU,0.67,0.04,0.95,0.44,0.75,0.6,0.79,0.43,0.56,0.54,Debt : Banking & PSU
ITI Dynamic Bond Fund Reg(G),Rajesh Bhatia,DT-DYN,0.68,-1.03,1.62,0.39,0.96,0.8,1.32,-0.07,0.69,0.48,Debt : Dynamic Bond
ITI ELSS Tax Saver Fund Reg(G),Alok Ranjan,EQ-ELSS,1.65,6.26,2.18,6.04,3.51,1.49,2.55,-7.23,0.59,-1.36,Equity : Tax Saving (ELSS)
ITI Flexi Cap Fund Reg(G),Dhimant Shah,EQ-FLEX,0.21,5.45,2.13,7.79,2.63,1.79,2.05,-4.05,0.16,-1.14,Equity : Flexi Cap
ITI Focused Equity Fund Reg(G),Dhimant Shah,EQ-FLEX,1.53,4.49,2.25,6.35,4,0.27,2.57,-4.18,1.03,-1.03,Equity : Flexi Cap
ITI Large & Mid Cap Fund Reg(G),Alok Ranjan,EQ-L&M,-,-,-,-,-,-,-,-5.04,2.61,-1.5,Equity : Large & Mid Cap
ITI Large Cap Fund Reg(G),Alok Ranjan,EQ-LC,1.74,4.64,0.1,4.86,3.86,-0.55,0.62,-6.19,1.04,-1.57,Equity : Large Cap
ITI Liquid Fund Reg(G),Rajesh Bhatia,DT-LIQ,0.58,0.57,0.57,0.55,0.57,0.55,0.55,0.56,0.55,0.57,Debt : Liquid
ITI Mid Cap Fund Reg(G),Rohan Korde,EQ-MID,1.63,6.76,5,6.29,4.9,0.79,-0.16,-6.74,-0.09,0.25,Equity : Mid Cap
ITI Multi Cap Fund Reg(G),Dhimant Shah,EQ-MLC,0.96,3.58,2.92,6.61,3.59,0.48,1.28,-6.23,-0.26,-0.31,Equity : Multi Cap
ITI Overnight Fund Reg(G),Rajesh Bhatia,DT-ON,0.54,0.51,0.51,0.51,0.52,0.52,0.5,0.52,0.5,0.52,Debt : Overnight
ITI Pharma & Healthcare Fund Reg(G),Rohan Korde,EQ-PHRM,0.46,0.71,-2.79,6.77,10.55,5.8,2.45,0.3,0.62,1.92,Equity : Sectoral - Pharma
ITI Small Cap Fund Reg(G),Dhimant Shah,EQ-SML,0.08,7.69,3.49,8.39,2.34,1.01,1.95,-3.02,1.89,0.52,Equity : Small Cap
ITI Ultra Short Duration Fund Reg(G),Rajesh Bhatia,DT-USD,0.59,0.53,0.53,0.47,0.59,0.5,0.54,0.56,0.49,0.53,Debt : Ultra Short Duration
ITI Value Fund Reg(G),Rohan Korde,EQ-VAL,1.3,5.26,1.82,5.71,4.62,-0.65,-0.23,-5.92,0.75,-1.08,Equity : Value / Contra
JM Aggressive Hybrid Fund(G),Asit Bhandarkar,HY-EQ,-1,7.22,1.62,6.29,3.94,1.73,-0.85,-3.18,-0.28,-0.3,Hybrid : Equity Oriented
JM Arbitrage Fund(G),Asit Bhandarkar,HY-ARB,0.59,0.58,0.57,0.59,0.52,0.55,0.45,0.63,0.49,0.57,Hybrid : Arbitrage
JM Dynamic Bond Fund Reg(G),Killol Pandya,DT-DYN,0.65,-0.35,1.3,0.47,1.03,0.86,1.27,-0.13,0.65,0.37,Debt : Dynamic Bond
JM ELSS Tax Saver Fund(G),Chaitanya Choksi,EQ-ELSS,-0.21,8.3,1.32,9.02,5.09,2.24,0.89,-5.53,-0.75,-0.54,Equity : Tax Saving (ELSS)
JM Flexicap Fund Reg(G),Satish Ramanathan,EQ-FLEX,-0.57,8.78,2.72,8.36,5.11,0.71,0.19,-4.19,-0.86,0.62,Equity : Flexi Cap
JM Focused Fund Reg(G),Asit Bhandarkar,EQ-LC,0.18,7.17,-0.44,5.7,4.5,2.26,-0.07,-4.28,0.43,0.2,Equity : Large Cap
JM Large Cap Fund Reg(G),Satish Ramanathan,EQ-LC,0.47,3.66,1.44,5.8,5.11,-0.23,0.0,-5.73,-0.21,-2.83,Equity : Large Cap
JM Liquid Fund(G),Killol Pandya,DT-LIQ,0.63,0.59,0.59,0.56,0.6,0.57,0.58,0.58,0.56,0.57,Debt : Liquid
JM Low Duration Fund(G),Killol Pandya,DT-LOWD,0.65,0.55,0.61,0.54,0.71,0.54,0.65,0.6,0.53,0.57,Debt : Low Duration
JM Medium to Long Duration Fund Reg(G),Killol Pandya,DT-M&LD,0.65,-0.37,1.4,0.48,0.96,0.87,1.18,-0.11,0.65,0.37,Debt : Medium to Long Duration
JM Midcap Fund Reg(G),Satish Ramanathan,EQ-MID,0.05,11.9,4.39,7.23,4.72,0.21,1.92,-4.96,-1.47,1.46,Equity : Mid Cap
JM Overnight Fund Reg(G),Killol Pandya,DT-ON,0.55,0.53,0.55,0.52,0.53,0.53,0.52,0.53,0.52,0.55,Debt : Overnight
JM Short Duration Fund Reg(G),Killol Pandya,DT-SD,0.57,0.24,0.79,0.53,0.88,0.61,0.75,0.44,0.49,0.46,Debt : Short Duration
JM Small Cap Fund Reg(G),Asit Bhandarkar,EQ-SML,-,-,-,-,4.56,4.18,1.79,-3.68,-0.45,0.3,Equity : Small Cap
JM Value Fund(G),Satish Ramanathan,EQ-VAL,-2.14,8.57,2.24,8.58,6.19,1.33,-1.46,-5.31,-1.71,-0.58,Equity : Value / Contra
Kotak Balanced Advantage Fund Reg(G),Rohit Tandon,HY-DYN,1.09,1.51,1.04,4.45,3.1,1.29,1.5,-3.12,1.19,-0.23,Hybrid : Dynamic Asset Allocation
Kotak Banking & Financial Services Fund Reg(G),Shibani Kurian,EQ-FIN,0.63,4.95,-0.79,8.09,0.91,0.16,3.75,-2.6,0.17,-2.1,Equity : Sectoral - Financial Services
Kotak Banking and PSU Debt Fund(G),Deepak Agrawal,DT-B&PSU,0.68,0.21,0.88,0.54,0.86,0.72,0.96,0.45,0.53,0.49,Debt : Banking & PSU
Kotak Bluechip Fund(G),Rohit Tandon,EQ-LC,1.61,2.33,1.52,7.16,4.24,0.83,2.36,-6.36,0.88,-1.57,Equity : Large Cap
Kotak Bond Fund Reg(G),Abhishek Bisen,DT-M&LD,0.76,-0.39,1.37,0.7,0.88,0.87,1.26,-0.06,0.42,0.38,Debt : Medium to Long Duration
Kotak Bond Short Term Fund(G),Deepak Agrawal,DT-SD,0.67,0.31,0.78,0.53,0.93,0.67,0.83,0.49,0.52,0.46,Debt : Short Duration
Kotak BSE Housing Index Fund Reg(G),Devender Singhal,EQ-INDX,-0.97,7.51,3.12,10.21,0.2,-2.05,3.68,-8.23,1.28,1.49,Equity : Index Funds
Kotak BSE PSU Index Fund Reg(G),Devender Singhal,EQ-INDX,-,-,-,-,-,-3.34,-2.64,-7.07,0.41,-5.26,Equity : Index Funds
Kotak BSE Sensex ETF,Devender Singhal,EQ-ETF,1.57,1.1,-0.35,7.05,3.49,0.93,2.33,-5.71,0.55,-2.11,Equity : ETFs
Kotak Business Cycle Fund Reg(G),Harish Bihani,EQ-THEM,2.06,4.01,2.93,8.44,3.63,2,4.43,-5.68,1.11,0.11,Equity : Thematic
Kotak Consumption Fund Reg(G),Devender Singhal,EQ-CONS,1.13,4.85,1.58,8.47,7.11,5.26,4.66,-8.21,1.02,-0.44,Equity : Thematic - Consumption
Kotak Corporate Bond Fund(G),Deepak Agrawal,DT-CORP,0.7,0.31,0.87,0.52,0.95,0.73,0.97,0.48,0.55,0.49,Debt : Corporate Bond
Kotak Credit Risk Fund(G),Deepak Agrawal,DT-CR,0.93,0.13,0.82,0.57,0.78,1.1,-0.36,0.63,0.34,0.14,Debt : Credit Risk
Kotak CRISIL IBX AAA Financial Services Index   Sep 2027 Fund Reg(G),Abhishek Bisen,DT-M&LD,-,-,-,-,-,-,-,0.88,0.51,0.59,Debt : Medium to Long Duration
Kotak Debt Hybrid Fund(G),Shibani Kurian,HY-DT(CO),0.5,0.89,1.3,2.16,1.63,1.67,1.54,-1.79,0.51,-0.05,Hybrid : Debt Oriented (Conservative)
Kotak Dynamic Bond Fund Reg(G),Deepak Agrawal,DT-DYN,0.78,-0.71,1.51,0.95,0.75,1.26,1.69,-0.11,0.07,0.33,Debt : Dynamic Bond
Kotak ELSS Tax Saver Fund(G),Harsha Upadhyaya,EQ-ELSS,2.18,5.38,2.42,5.59,3.56,-0.94,2.98,-5.89,0.76,-0.73,Equity : Tax Saving (ELSS)
Kotak Emerging Equity Fund(G),Atul Bhole,EQ-MID,-0.09,7.34,5.23,9.48,4.69,0.92,2.0,-4.53,1.76,1.06,Equity : Mid Cap
Kotak Equity Arbitrage Fund(G),Hiten Shah,HY-ARB,0.63,0.72,0.59,0.67,0.6,0.55,0.49,0.67,0.53,0.64,Hybrid : Arbitrage
Kotak Equity Hybrid Fund(G),Atul Bhole,HY-EQ,1.22,3.23,2.74,6.42,4.57,1.15,1.65,-4.02,1.36,-0.48,Hybrid : Equity Oriented
Kotak Equity Opp Fund(G),Harsha Upadhyaya,EQ-L&M,1.94,6.41,3.38,5.94,3.26,-0.32,2.61,-5.67,1.01,-0.67,Equity : Large & Mid Cap
Kotak Equity Savings Fund(G),Devender Singhal,HY-EQ,1.21,1.51,0.74,2.18,2.39,1.42,0.64,-2.49,1.55,-0.4,Hybrid : Equity Oriented
Kotak ESG Exclusionary Strategy Fund Reg(G),Mandar Pawar,EQ-THEM,1.4,3.06,1.55,6.38,3.49,0.34,3.04,-6.79,0.28,-2.58,Equity : Thematic
Kotak Flexicap Fund(G),Harsha Upadhyaya,EQ-FLEX,2.43,4.44,2.57,6.17,3.69,-1.23,1.93,-5.87,1.28,-1.57,Equity : Flexi Cap
Kotak Floating Rate Fund Reg(G),Deepak Agrawal,DT-FL,0.67,0.7,0.58,0.64,1.01,0.65,0.67,0.79,0.51,0.53,Debt : Floater
Kotak Focused Equity Fund Reg(G),Shibani Kurian,EQ-MLC,1.7,3.38,1.5,7.66,4.21,0.58,2.41,-6.73,1.11,-2.4,Equity : Multi Cap
Kotak Gilt Fund PF&Trust(G),Abhishek Bisen,DT-GILT,0.79,-0.85,1.75,1,0.58,1.18,1.75,-0.45,0.2,0.45,Debt : Gilt
Kotak Gilt Fund Reg(G),Abhishek Bisen,DT-GILT,0.79,-0.85,1.75,1,0.58,1.18,1.75,-0.45,0.2,0.45,Debt : Gilt
Kotak Global Emerging Mkt Fund(G),Arjun Khanna,FOF-OVR,2.2,0,0.38,3.11,-0.91,2.18,4.8,-3.07,-3.0,-1.05,FoFs : Overseas
Kotak Global Innovation FoF Reg(G),Arjun Khanna,FOF-OVR,1.61,-4.12,3.59,2.25,0.26,3.74,1.61,-0.33,5.97,-2.86,FoFs : Overseas
Kotak Gold ETF,Abhishek Bisen,GOLD-ETF,7.81,6.56,0.8,-0.79,-3.48,3.69,4.57,5.33,-3.47,-0.66,Gold : ETFs
Kotak Gold Fund(G),Abhishek Bisen,GOLD-MF,7.23,7.51,0.55,-0.82,-3.57,3.57,4.63,5.08,-3.9,-0.19,Gold : MFs
Kotak Healthcare Fund Reg(G),Shibani Kurian,EQ-PHRM,0.09,-0.2,-2.46,4.88,10.12,5.49,3.65,-1.37,0.5,3.55,Equity : Sectoral - Pharma
Kotak Income Plus Arbitrage FOF Reg(G),Abhishek Bisen,FOF-DOM,0.81,-0.55,1.95,1.16,0.63,1.1,1.75,-0.34,0.5,0.58,FoFs : Domestic
Kotak India EQ Contra Fund(G),Shibani Kurian,EQ-VAL,0.78,4.85,1.77,7.27,4.47,1.28,1.24,-5.56,0.49,-1.88,Equity : Value / Contra
Kotak Infra & Eco Reform Fund(G),Nalin Rasik Bhatt,EQ-INFRA,3.12,8.35,5.6,8.48,2.6,-2.43,2.41,-7.15,0.83,0.35,Equity : Sectoral - Infrastructure
Kotak International REIT FOF Reg(G),Arjun Khanna,FOF-OVR,2.64,-4.35,0.29,-1.68,4.51,9.32,5.96,-7.43,-1.32,-4.62,FoFs : Overseas
Kotak Liquid Fund Reg(G),Deepak Agrawal,DT-LIQ,0.64,0.61,0.59,0.57,0.6,0.57,0.58,0.58,0.56,0.57,Debt : Liquid
Kotak Long Duration Fund Reg(G),Abhishek Bisen,DT-LD,-,-1.25,2.34,1.33,0.57,1.19,1.78,-0.47,0.02,0.68,Debt : Long Duration
Kotak Low Duration Fund(G),Deepak Agrawal,DT-LOWD,0.7,0.6,0.54,0.56,0.69,0.53,0.58,0.74,0.47,0.56,Debt : Low Duration
Kotak Manufacture in India Fund Reg(G),Harsha Upadhyaya,EQ-THEM,3.6,3.87,4.34,7.85,3.81,-1.2,2.1,-7.25,0.07,0.63,Equity : Thematic
Kotak Medium Term Fund(G),Deepak Agrawal,DT-MD,0.71,0.08,0.89,0.56,0.91,0.98,1.19,0.58,0.4,0.21,Debt : Medium Duration
Kotak MNC Fund Reg(G),Harsha Upadhyaya,EQ-MNC,-,-,-,-,-,-,-,-,1.84,-1.03,Equity : Thematic - MNC
Kotak Money Market Fund(G),Deepak Agrawal,DT-MM,0.76,0.6,0.61,0.55,0.69,0.55,0.66,0.61,0.56,0.59,Debt : Money Market
Kotak Multi Asset Allocation Fund Reg(G),Devender Singhal,HY-MULTI,1.87,3.71,2.04,4,2.69,1.16,1.88,-3.26,0.14,-1.33,Hybrid : Multi Asset Allocation
Kotak Multi Asset Allocator FoF Dynamic(G),Devender Singhal,FOF-DOM,2.06,3.15,1.79,4.11,1.52,1.23,2.14,-2.39,0.42,-0.26,FoFs : Domestic
Kotak Multicap Fund Reg(G),Devender Singhal,EQ-MLC,0.85,3.57,0.76,7.62,6.07,1,1.9,-6.26,1.46,-0.36,Equity : Multi Cap
Kotak NASDAQ 100 FoF Reg(G),Arjun Khanna,FOF-OVR,2.15,-2.68,2.95,8.93,-2.32,0.37,2.92,2.91,2.5,2.43,FoFs : Overseas
Kotak Nifty 100 Low Volatility 30 ETF,Devender Singhal,EQ-ETF,0.91,-1.46,0.03,6.96,6.07,2.44,3.67,-8.0,-1.81,-0.79,Equity : ETFs
Kotak NIFTY 100 Low Volatility 30 Index Fund Reg(G),Devender Singhal,EQ-INDX,-,-,-,-,5.93,2.23,3.55,-8.1,-1.89,-0.88,Equity : Index Funds
Kotak Nifty 1D Rate Liquid ETF,Abhishek Bisen,DT-LIQ,0.54,0.52,0.54,0.52,0.53,0.52,0.52,0.53,0.51,0.54,Debt : Liquid
Kotak Nifty 200 Momentum 30 Index Fund Reg(G),Devender Singhal,EQ-INDX,2.65,5.65,4.81,4.05,4.87,0.46,1.26,-8.17,-0.8,-4.26,Equity : Index Funds
Kotak Nifty 50 ETF,Devender Singhal,EQ-ETF,1.58,1.24,0.02,6.74,3.98,1.35,2.27,-6.12,-0.26,-2.02,Equity : ETFs
Kotak Nifty 50 Index Fund Reg(G),Devender Singhal,EQ-INDX,1.49,1.18,-0.06,6.68,3.92,1.32,2.23,-6.15,-0.29,-2.07,Equity : Index Funds
Kotak Nifty 50 Value 20 ETF,Devender Singhal,EQ-ETF,-0.59,1.65,-0.5,6.4,8.5,1.65,0.57,-5.33,0.55,-1.93,Equity : ETFs
Kotak Nifty AAA Bond Jun 2025 HTM Index Fund Reg(G),Abhishek Bisen,DT-SD,-,0.54,0.64,0.56,0.71,0.51,0.61,0.67,0.54,0.59,Debt : Short Duration
Kotak Nifty Alpha 50 ETF,Devender Singhal,EQ-ETF,1.1,6.95,5.32,5.82,6.71,0.4,0.22,-7.07,-0.01,0.18,Equity : ETFs
Kotak Nifty Bank ETF,Devender Singhal,EQ-ETF,2.14,4.81,-0.32,6.92,-1.49,-0.17,3.14,-2.85,1.12,-2.32,Equity : ETFs
Kotak Nifty Financial Services Ex Bank Index Fund Reg(G),Devender Singhal,EQ-INDX,1.44,3.24,-3.51,7.65,4.51,4.57,3.87,-6.99,-2.32,-0.87,Equity : Index Funds
Kotak Nifty G Sec July 2033 Index Fund Reg(G),Abhishek Bisen,DT-LD,0.67,-0.22,1.39,0.51,1.18,0.9,1.43,-0.13,0.74,0.52,Debt : Long Duration
Kotak NIFTY India Consumption ETF,Devender Singhal,EQ-ETF,3.21,2.73,0.67,6.64,6.15,2.5,6.18,-10.48,-0.2,-0.75,Equity : ETFs
Kotak Nifty India Tourism Index Fund Reg(G),Devender Singhal,EQ-INDX,-,-,-,-,-,-,-,-10.42,7.6,5.25,Equity : Index Funds
Kotak Nifty IT ETF,Devender Singhal,EQ-ETF,-7.49,-4.86,-1.62,11.64,13.09,4.75,-1.98,-3.12,6.75,0.43,Equity : ETFs
Kotak NIFTY Midcap 150 Momentum 50 Index Fund Reg(G),Devender Singhal,EQ-INDX,-,-,-,-,-,-,-,-,1.09,0.76,Equity : Index Funds
Kotak Nifty Midcap 50 ETF,Devender Singhal,EQ-ETF,-1.56,4.69,1.98,8.84,6.14,-0.18,1.57,-7.96,1.06,1.75,Equity : ETFs
Kotak NIFTY Midcap 50 Index Fund Reg(G),Devender Singhal,EQ-INDX,-,-,-,-,-,-,1.4,-8.04,0.97,1.66,Equity : Index Funds
Kotak NIFTY MNC ETF,Devender Singhal,EQ-ETF,3.09,4.61,5.51,6.39,3.23,-0.8,5.13,-10.3,-1.15,-3.07,Equity : ETFs
Kotak Nifty Next 50 Index Fund Reg(G),Devender Singhal,EQ-INDX,2.75,6.96,3.99,5.93,4.57,0.72,2.3,-9.33,1.18,-3.68,Equity : Index Funds
Kotak Nifty PSU Bank ETF,Devender Singhal,EQ-ETF,1.08,8.49,-2.38,-0.18,0.39,-5.58,-3.33,-0.5,1.28,-4.05,Equity : ETFs
Kotak Nifty SDL Apr 2027 Top 12 Equal Weight Index Fund Reg(G),Abhishek Bisen,DT-M&LD,0.48,0.49,0.87,0.7,0.95,0.68,0.72,0.58,0.44,0.52,Debt : Medium to Long Duration
Kotak Nifty SDL Apr 2032 Top 12 Equal Weight Index Fund Reg(G),Abhishek Bisen,DT-LD,0.7,-0.06,1.21,0.61,0.93,1.16,1.09,0.48,0.34,0.71,Debt : Long Duration
Kotak Nifty SDL Jul 2026 Index Fund Reg(G),Abhishek Bisen,DT-M&LD,0.56,0.46,0.73,0.67,0.8,0.68,0.7,0.58,0.44,0.48,Debt : Medium to Long Duration
Kotak Nifty SDL Jul 2033 Index Fund Reg(G),Abhishek Bisen,DT-LD,0.68,-0.07,1.31,0.71,0.96,1,1.34,0.31,0.15,0.85,Debt : Long Duration
Kotak Nifty SDL Plus AAA PSU Bond Jul 2028 60:40 Index Fund Reg(G),Abhishek Bisen,DT-M&LD,0.63,0.21,0.92,0.63,0.99,0.75,0.88,0.49,0.51,0.44,Debt : Medium to Long Duration
Kotak Nifty Smallcap 50 Index Fund Reg(G),Devender Singhal,EQ-INDX,-4.78,11.65,-1.76,10.95,4.37,2.54,0.2,-2.46,0.04,-0.62,Equity : Index Funds
Kotak Overnight Fund Reg(G),Deepak Agrawal,DT-ON,0.55,0.53,0.55,0.53,0.54,0.54,0.53,0.53,0.52,0.55,Debt : Overnight
Kotak Pioneer Fund Reg(G),Harish Bihani,EQ-THEM,2.95,2.24,3.34,8.56,2.19,2.79,3.12,-6.45,1.76,0.72,Equity : Thematic
Kotak Quant Fund Reg(G),Harsha Upadhyaya,EQ-THEM,0.07,4.93,1.18,7.18,3.72,-0.55,3.82,-8.53,-1.93,-0.83,Equity : Thematic
Kotak Savings Fund(G),Deepak Agrawal,DT-USD,0.69,0.59,0.58,0.52,0.64,0.53,0.61,0.6,0.51,0.57,Debt : Ultra Short Duration
Kotak Silver ETF,Jeetu Valechha Sonar,GOLD-ETF,6.76,7.74,15.03,-4.77,-5.62,2.45,5.26,7.59,-7.31,-3.85,Gold : ETFs
Kotak Silver ETF FoF Reg(G),Jeetu Valechha Sonar,GOLD-MF,5.94,7.94,14.55,-4.61,-5.37,2.1,5.65,6.99,-7.36,-3.74,Gold : MFs
Kotak Small Cap Fund(G),Harish Bihani,EQ-SML,-0.98,7.11,3.75,9.62,4.68,0.57,3.54,-4.15,-0.26,-0.48,Equity : Small Cap
Kotak Special Opportunities Fund Reg(G),Devender Singhal,EQ-THEM,-,-,-,-,2.25,1.29,1.91,-5.5,1.85,-2.06,Equity : Thematic
Kotak Technology Fund Reg(G),Shibani Kurian,EQ-TECH,-,-1.17,0.48,10.88,11.03,6.43,-0.56,-4.81,4.59,0.1,Equity : Sectoral - Technology
LIC MF Aggressive Hybrid Fund(G),Karan Doshi,HY-EQ,0.66,3.6,1.29,5.64,2.64,1.83,1.54,-3.67,0.5,-1.19,Hybrid : Equity Oriented
LIC MF Arbitrage Fund Reg(G),Sumit Bhatnagar,HY-ARB,0.57,0.64,0.56,0.52,0.59,0.53,0.5,0.56,0.53,0.55,Hybrid : Arbitrage
LIC MF Balanced Advantage Fund Reg(G),Yogesh Patil,HY-EQ,1.01,1.38,0.56,4.53,2.32,1.04,1.23,-1.89,0.86,0.16,Hybrid : Equity Oriented
LIC MF Banking & Financial Services Fund Reg(G),Jaiprakash Toshniwal,EQ-FIN,-1.59,6.49,-2.14,8.17,-1.78,-0.3,2.89,-4.37,0.54,-2.52,Equity : Sectoral - Financial Services
LIC MF Banking & PSU Fund Reg(G),Marzban Irani,DT-B&PSU,0.65,0.24,0.77,0.57,0.82,0.69,0.95,0.46,0.47,0.47,Debt : Banking & PSU
LIC MF BSE Sensex ETF,Sumit Bhatnagar,EQ-ETF,1.58,1.12,-0.33,7.07,3.5,0.95,2.3,-5.71,0.56,-2.1,Equity : ETFs
LIC MF BSE Sensex Index Fund Reg(G),Sumit Bhatnagar,EQ-INDX,1.49,1.03,-0.41,6.96,3.41,0.86,2.24,-5.79,0.48,-2.18,Equity : Index Funds
LIC MF Childrens Fund Reg(G),Nikhil Rungta,HY-SOL,-0.61,3.18,0.43,8.28,3.07,1.52,1.58,-4.87,1.97,1.48,Hybrid : Solution Oriented
LIC MF Conservative Hybrid Fund(G),Pratik Shroff,HY-DT(CO),0.09,0.11,0.95,2.4,1.43,0.96,1.32,-1.27,0.89,-0.05,Hybrid : Debt Oriented (Conservative)
LIC MF Dividend Yield Fund Reg(G),Dikshit Mittal,EQ-DIV,0.37,6.24,3.01,8.11,6.23,2.1,1.74,-6.29,0.0,-1.05,Equity : Thematic - Dividend Yield
LIC MF ELSS Tax Saver Reg(G),Yogesh Patil,EQ-ELSS,1.42,4.01,2.18,9.04,3.85,1.38,2.38,-5.09,0.91,0.55,Equity : Tax Saving (ELSS)
LIC MF Equity Savings Fund(G),Sumit Bhatnagar,HY-EQ,0.22,2.01,-0.04,2.9,2.03,0.66,0.4,-1.27,0.54,-0.06,Hybrid : Equity Oriented
LIC MF Flexi Cap Fund Reg(G),Nikhil Rungta,EQ-FLEX,0.45,4.01,1.56,9.38,4.6,-0.01,3.0,-5.66,0.83,-1.15,Equity : Flexi Cap
LIC MF Focused Fund Reg(G),Jaiprakash Toshniwal,EQ-LC,1.3,2.12,-0.1,8.71,7.46,1.02,1.74,-7.01,0.71,-3.19,Equity : Large Cap
LIC MF Gilt Fund PF(G),Marzban Irani,DT-GILT,0.71,-0.46,1.35,0.79,0.71,0.96,1.53,-0.31,0.22,0.51,Debt : Gilt
LIC MF Gilt Fund Reg(G),Marzban Irani,DT-GILT,0.71,-0.46,1.35,0.79,0.71,0.96,1.53,-0.31,0.22,0.51,Debt : Gilt
LIC MF Gold ETF,Sumit Bhatnagar,GOLD-ETF,9.06,5.85,0.5,-0.68,-3.94,4.31,4.72,5.36,-3.77,-0.31,Gold : ETFs
LIC MF Gold ETF FoF(G),Sumit Bhatnagar,GOLD-MF,7.29,7.86,0.39,-0.39,-2.79,2.31,5.52,4.5,-4.05,-0.73,Gold : MFs
LIC MF Healthcare Fund Reg(G),Karan Doshi,EQ-PHRM,0.88,1.64,-1.58,4.2,11.04,5.99,1.85,1.87,0.17,0.73,Equity : Sectoral - Pharma
LIC MF Infra Fund Reg(G),Yogesh Patil,EQ-INFRA,0.4,11.22,7.95,9.64,5.54,0.27,-0.87,-3.22,1.35,0.32,Equity : Sectoral - Infrastructure
LIC MF Large & Midcap Fund Reg(G),Yogesh Patil,EQ-L&M,-0.45,6.96,3.36,9.49,4.76,1.42,0.63,-4.77,0.91,0.08,Equity : Large & Mid Cap
LIC MF Large Cap Fund Reg(G),Nikhil Rungta,EQ-LC,1.85,2.71,1.2,6.87,4.64,1.28,1.51,-6.31,0.48,-1.59,Equity : Large Cap
LIC MF Liquid Fund Reg(G),Rahul Singh,DT-LIQ,0.65,0.63,0.6,0.57,0.6,0.58,0.59,0.59,0.56,0.58,Debt : Liquid
LIC MF Low Duration Fund(G),Rahul Singh,DT-LOWD,0.65,0.52,0.57,0.51,0.7,0.53,0.61,0.6,0.48,0.58,Debt : Low Duration
LIC MF Manufacturing Fund Reg(G),Yogesh Patil,EQ-THEM,-,-,-,-,-,-,-,-,0.18,-1.98,Equity : Thematic
LIC MF Medium to Long Duration Fund Reg(G),Marzban Irani,DT-M&LD,0.66,-0.15,1.19,0.57,0.93,0.98,1.2,0.2,0.37,0.62,Debt : Medium to Long Duration
LIC MF Midcap Fund(G),Karan Doshi,EQ-MID,-0.26,7.71,4.45,10.18,4.57,1.43,1.19,-6.44,0.25,1.42,Equity : Mid Cap
LIC MF Money Market Fund Reg(G),Rahul Singh,DT-MM,0.56,0.51,0.51,0.44,0.5,0.44,0.48,0.45,0.43,0.51,Debt : Money Market
LIC MF Multi Cap Fund Reg(G),Dikshit Mittal,EQ-MLC,-0.76,6.66,3.68,10,5.2,2.32,1.01,-5.46,2.41,0.31,Equity : Multi Cap
LIC MF Nifty 100 ETF,Sumit Bhatnagar,EQ-ETF,1.75,2.22,0.62,6.46,4.11,1.12,2.32,-6.73,0.01,-2.24,Equity : ETFs
LIC MF Nifty 50 ETF,Sumit Bhatnagar,EQ-ETF,1.55,1.24,0.02,6.74,3.97,1.35,2.26,-6.12,-0.26,-2.02,Equity : ETFs
